A00;Χολέρα
C82.2;Μεγαλοκυτταρικό, θυλακιώδες
C82.7;Άλλοι τύποι θυλακιώδους μη-Hodgkin λεμφώματος
C82.9;Θυλακιώδες μη-Hodgkin λέμφωμα, μη καθορισμένο
C83;Διάχυτο μη-Hodgkin λέμφωμα
C83.0;Μικροκυτταρικό (διάχυτο)
C83.1;Μικρο-σχιστοκυτταρικό (διάχυτο)
C83.2;Μικτό μικρό- και μεγαλοκυτταρικό (διάχυτο)
C83.3;Μεγαλοκυτταρικό (διάχυτο)  
C83.4;Ανοσοβλαστικό, διάχυτο
C83.5;Λεμφοβλαστικό, διάχυτο
C83.6;Αδιαφοροποίητο, διάχυτο
C83.7;Λέμφωμα Burkitt
C83.8;Άλλοι τύποι διάχυτου μη -Hodgkin λεμφώματος
C83.9;Διάχυτο μη-Hodgkin λέμφωμα, μη καθορισμένο
C84;Περιφερικά και δερματικά Τ-κυτταρικά λεμφώματα 
C84.0;Σπογγοειδής μυκητίαση
C84.1;Νόσος του S?zary
C84.2;Λέμφωμα Τ-ζώνης
C84.3;Λεμφοεπιθηλιοειδές λέμφωμα
C84.4;Περιφερικό Τ-κυτταρικό λέμφωμα 
C84.5;Άλλα και μη καθορισμένα Τ-κυτταρικά  λεμφώματα 
C85;Άλλοι και μη καθορισμένοι τύποι μη-Hodgkin λεμφώματος
C85.0;Λεμφοσάρκωμα
C85.1;Β–κυτταρικό λέμφωμα, μη καθορισμένο
C85.7;Άλλοι καθορισμένοι τύποι μη -Hodgkin λεμφώματος
C85.9;Μη-Hodgkin λέμφωμα, μη καθορισμένος τύπος 
C88;Κακοήθη  ανοσοϋπερπλαστικά νοσήματα
C88.0;Μακροσφαιριναιμία του Waldenstr?m
C88.1;Νόσος των α -βαρέων αλύσεων
C88.2;Νόσος των γ-βαρέων αλύσεων
C88.3;Ανοσοϋπερπλαστική νόσος του λεπτού εντέρου
C88.7;Άλλα κακοήθη ανοσοϋπερπλαστικά νοσήματα
C88.9;Κακοήθη ανοσοϋπερπλαστικά νοσήματα, μη καθορισμένα
C90;Πολλαπλούν μυέλωμα και κακοήθη πλασματοκυτταρικά νεοπλάσματα 
C90.0;Πολλαπλούν μυέλωμα
C90.1;Πλασματοκυτταρική λευχαιμία
C90.2;Πλασματοκύτωμα, εξωμυελικό
C91;Λεμφογενής λευχαιμία
C91.0;Οξεία λεμφοβλαστική λευχαιμία
C91.1;Χρόνια λεμφοκυτταρική λευχαιμία
C91.2;Υποξεία  λεμφοκυτταρική λευχαιμία
C91.3;Προλεμφοκυτταρική λευχαιμία
C91.4;Λευχαιμία από τριχωτά κύτταρα
C91.5;Τ-κυτταρική λευχαιμία των ενηλίκων 
C91.7;Άλλη λεμφογενής λευχαιμία
C91.9;Λεμφογενής λευχαιμία, μη καθορισμένη
C92;Μυελογενής λευχαιμία
C92.0;Οξεία μυελογενής λευχαιμία
C92.1;Χρόνια μυελογενής λευχαιμία
C92.2;Υποξεία μυελογενής λευχαιμία 
C92.3;Μυελοειδές σάρκωμα
C92.4;Οξεία προμυελοκυτταρική λευχαιμία
C92.5;Οξεία μυελομονοκυτταρική λευχαιμία
C92.7;Άλλη μυελογενής λευχαιμία
C92.9;Μυελογενής λευχαιμία, μη καθορισμένη
C93;Μονοκυτταρική λευχαιμία
C93.0;Οξεία μονοκυτταρική λευχαιμία
C93.1;Χρόνια μονοκυτταρική λευχαιμία
C93.2;Υποξεία μονοκυτταρική λευχαιμία
C93.7;Άλλη μονοκυτταρική λευχαιμία
C93.9;Μονοκυτταρική λευχαιμία, μη καθορισμένη
C94;Άλλες λευχαιμίες καθορισμένου κυτταρικού τύπου
C94.0;Οξεία ερυθραιμία και ερυθρολευχαιμία
C94.1;Χρόνια ερυθραιμία
C94.2;Οξεία μεγακαρυοβλαστική λευχαιμία
C94.3;Mαστοκυτταρική λευχαιμία 
C94.4;Οξεία πανμυέλωση 
C94.5;Οξεία μυελοΐνωση
C94.7;Άλλες καθορισμένες λευχαιμίες
C95;Λευχαιμία μη καθορισμένου κυτταρικού τύπου
C95.0;Οξεία λευχαιμία μη καθορισμένου κυτταρικού τύπου 
C95.1;Χρόνια λευχαιμία μη καθορισμένου κυτταρικού τύπου
C95.2;Υποξεία λευχαιμία μη καθορισμένου κυτταρικού τύπου
C95.7;Άλλη λευχαιμία μη καθορισμένου κυτταρικού τύπου
C95.9;Λευχαιμία, μη καθορισμένη
C96;Άλλα και μη καθορισμένα κακοήθη νεοπλάσματα του λεμφικού, αιμοποιητικού και των σχετικών τους ιστών
C96.0;Νόσος Letterer- Siwe
C96.1;Κακοήθης ιστιοκυττάρωση
C96.2;Κακοήθης μαστοκυτταρικός όγκος
C96.3;Γνήσιο ιστιοκυτταρικό λέμφωμα
C96.7;Άλλα καθορισμένα κακοήθη νεοπλάσματα του λεμφικού, αιμοποιητικού και των σχετικών τους ιστών
C96.9;Κακοήθη νεοπλάσματα του λεμφικού, αιμοποιητικού και των σχετικών ιστών, μη καθορισμένα 
C97;Κακοήθη νεοπλάσματα με ανεξάρτητες (πρωτοπαθείς) πολλαπλές εντοπίσεις
D00;Καρκίνωμα in situ της στοματικής κοιλότητας, του οισοφάγου και του στομάχου
D00.0;Χείλους, στοματικής κοιλότητας και φάρυγγα
D00.1;Οισοφάγου
D00.2;Στομάχου
D01;Καρκίνωμα in situ άλλων και μη καθορισμένων οργάνων του πεπτικού συστήματος 
D01.0;Κόλου
D01.1;Ορθοσιγμοειδικής συμβολής
D01.2;Ορθού
D01.3;Πρωκτού και πρωκτικού σωλήνα
D01.4;Άλλων και μη καθορισμένων τμημάτων του εντέρου
D01.5;Ήπατος, χοληδόχου κύστης και χοληφόρων πόρων 
D01.7;Άλλων καθορισμένων οργάνων του πεπτικού συστήματος
D01.9;Οργάνου του πεπτικού συστήματος, μη καθορισμένο
D02;Καρκίνωμα in situ του μέσου ωτός και του αναπνευστικού συστήματος
D02.0;Λάρυγγα
D02.1;Τραχείας
D02.2;Βρόγχου και πνεύμονα
D02.3;Άλλων τμημάτων του αναπνευστικού συστήματος
D02.4;Αναπνευστικού συστήματος, μη καθορισμένο 
D03;Μελάνωμα in situ
D03.0;Μελάνωμα in situ του χείλους
D03.1;Μελάνωμα in situ του βλεφάρου, συμπεριλαμβανομένου του κανθού
D03.2;Μελάνωμα in situ του ωτός και του έξω ακουστικού πόρου
D03.3;Μελάνωμα in situ άλλων και μη καθορισμένων τμημάτων του προσώπου
D03.4;Μελάνωμα in situ του τριχωτού της κεφαλής και του τραχήλου
D03.5;Μελάνωμα in situ του κορμού
D03.6;Μελάνωμα in situ του άνω άκρου, συμπεριλαμβανομένου του ώμου
D03.7;Μελάνωμα in situ του κάτω άκρου, συμπεριλαμβανομένου του ισχίου
D03.8;Μελάνωμα in situ άλλων εντοπίσεων
D03.9;Μελάνωμα in situ, μη καθορισμένο
D04;Καρκίνωμα in situ του δέρματος
D04.0;Δέρματος του χείλους
D04.1;Δέρματος του βλεφάρου, συμπεριλαμβανομένου του κανθού
D04.2;Δέρματος του ωτός και του έξω ακουστικού πόρου
D04.3;Δέρματος άλλων και μη καθορισμένων τμημάτων του προσώπου
D04.4;Δέρματος του τριχωτού της κεφαλής και του τραχήλου 
D04.5;Δέρματος του κορμού
D04.6;Δέρματος του άνω άκρου, συμπεριλαμβανομένου του ώμου  
D04.7;Δέρματος του κάτω άκρου, συμπεριλαμβανομένου του ισχίου
D04.8;Δέρματος άλλων εντοπίσεων
D04.9;Δέρματος, μη καθορισμένο
D05;Καρκίνωμα in situ του μαστού
D05.0;Λοβιακό [λοβιώδες] καρκίνωμα in situ
D05.1;Πορογενές καρκίνωμα in situ
D05.7;Άλλο καρκίνωμα in situ του μαστού
D05.9;Καρκίνωμα in situ του μαστού, μη καθορισμένο 
D06;Καρκίνωμα in situ του τραχήλου της μήτρας
D06.0;Ενδοτραχήλου
D06.1;Έξωτραχήλου
D06.7;Άλλων τμημάτων του τραχήλου
D06.9;Τραχήλου, μη καθορισμένο
D07;Καρκίνωμα in situ  άλλων και μη καθορισμένων γεννητικών οργάνων
D07.0;Ενδομητρίου
D07.1;Αιδοίου
D07.2;Κόλπου
D07.3;Άλλων και μη καθορισμένων γυναικείων γεννητικών οργάνων
D07.4;Πέους
D07.5;Προστάτη
D07.6;Άλλων και μη καθορισμένων ανδρικών γεννητικών οργάνων
D09;Καρκίνωμα in situ άλλων και μη καθορισμένων εντοπίσεων
D09.0;Ουροδόχου κύστης
D09.1;Άλλων και μη καθορισμένων οργάνων του ουροποιητικού συστήματος
D09.2;Οφθαλμού
D09.3;Θυρεοειδούς αδένα και άλλων ενδοκρινών αδένων
D09.7;Καρκίνωμα in situ  άλλων καθορισμένων εντοπίσεων
D09.9;Καρκίνωμα in situ, μη καθορισμένο
D10;Καλόηθες νεόπλασμα του στόματος και του φάρυγγα
D10.0;Χείλους
D10.1;Γλώσσας
D10.2;Εδάφους του στόματος
D10.3;Άλλων και μη καθορισμένων τμημάτων του στόματος
D10.4;Αμυγδαλής
D10.5;Άλλων τμημάτων του στοματοφάρυγγα
D10.6;Ρινοφάρυγγα
D10.7;Υποφάρυγγα
D10.9;Φάρυγγα, μη καθορισμένο
D11;Καλόηθες νεόπλασμα των μειζόνων σιελογόνων αδένων
D11.0;Παρωτίδας
D11.7;Άλλων μειζόνων σιελογόνων αδένων
D11.9;Μείζονα σιελογόνου αδένα, μη καθορισμένο 
D12;Καλόηθες νεόπλασμα του κόλου, ορθού, πρωκτού και πρωκτικού σωλήνα
D12.0;Τυφλού
D12.1;Σκωληκοειδούς απόφυσης
D12.2;Ανιόντος κόλου
D12.3;Εγκάρσιου κόλου
D12.4;Κατιόντος κόλου
D12.5;Σιγμοειδούς κόλου
D12.6;Κόλου, μη καθορισμένο 
D12.7;Ορθοσιγμοειδικής συμβολής
D12.8;Ορθού
D12.9;Πρωκτού και πρωκτικού σωλήνα
D13;Καλόηθες νεόπλασμα άλλων και ασαφώς καθοριζόμενων τμημάτων του πεπτικού συστήματος
D13.0;Οισοφάγου
D13.1;Στομάχου
D13.2;Δωδεκαδάκτυλου
D13.3;Άλλων και μη καθορισμένων τμημάτων του λεπτού εντέρου
D13.4;Ήπατος
D13.5;Εξωηπατικών χοληφόρων πόρων
D13.6;Παγκρέατος
D13.7;Ενδοκρινούς μοίρας του παγκρέατος
D13.9;Ασαφώς καθοριζόμενων εντοπίσεων του πεπτικού συστήματος
D14;Καλόηθες νεόπλασμα του μέσου ωτός και του αναπνευστικού συστήματος
D14.0;Μέσου ωτός, ρινικής κοιλότητας και παραρρινίων κόλπων
D14.1;Λάρυγγα
D14.2;Τραχείας
D14.3;Βρόγχου και πνεύμονα
D14.4;Αναπνευστικού συστήματος, μη καθορισμένο 
D15;Καλόηθες νεόπλασμα άλλων και μη καθορισμένων ενδοθωρακικών οργάνων
D15.0;Θύμου αδένα
D15.1;Καρδιάς
D15.2;Μεσοθωρακίου
D15.7;Άλλων καθορισμένων ενδοθωρακικών οργάνων
D15.9;Ενδοθωρακικού οργάνου, μη καθορισμένου 
D16;Καλόηθες νεόπλασμα των οστών και των αρθρικών χόνδρων
D16.0;Ωμοπλάτης και μακρών οστών του άνω άκρου
D16.1;Βραχέων οστών του άνω άκρου
D16.2;Μακρών οστών του κάτω άκρου
D16.3;Βραχέων οστών του κάτω άκρου
D16.4;Οστών του κρανίου και του προσώπου
D16.5;Οστού της κάτω γνάθου
D16.6;Σπονδυλικής στήλης
D16.7;Πλευρών, στέρνου και κλείδας
D16.8;Οστών της πυέλου, ιερού οστού και κόκκυγα
D16.9;Οστών και αρθρικών χόνδρων, μη καθορισμένο
D17;Καλόηθες νεόπλασμα του λιπώδους ιστού
D17.0;Καλόηθες νεόπλασμα λιπώδους ιστού του δέρματος και του υποδόριου ιστού της κεφαλής, προσώπου και τραχήλου
D17.1;Καλόηθες νεόπλασμα λιπώδους ιστού του δέρματος και του υποδόριου ιστού του κορμού
D17.2;Καλόηθες νεόπλασμα λιπώδους ιστού του δέρματος και του υποδόριου ιστού των άκρων
D17.3;Καλόηθες νεόπλασμα λιπώδους ιστού του δέρματος και του υποδόριου ιστού άλλων και μη καθορισμένων εντοπίσεων
D17.4;Καλόηθες νεόπλασμα λιπώδους ιστού των ενδοθωρακικών οργάνων
D17.5;Καλόηθες νεόπλασμα λιπώδους ιστού των ενδοκοιλιακών οργάνων
D17.6;Καλόηθες νεόπλασμα λιπώδους ιστού του σπερματικού τόνου
D17.7;Καλόηθες νεοπλάσματα λιπώδους ιστού άλλων εντοπίσεων
D17.9;Καλόηθες νεόπλασμα λιπώδους ιστού, μη καθορισμένο 
D18;Αιμαγγείωμα και λεμφαγγείωμα, οποιασδήποτε εντόπισης
D18.0;Αιμαγγείωμα, οποιασδήποτε εντόπισης
D18.1;Λεμφαγγείωμα, οποιασδήποτε εντόπισης
D19;Καλόηθες νεόπλασμα του μεσοθηλιακού ιστού
D19.0;Μεσοθηλιακού ιστού του υπεζωκότα
D19.1;Μεσοθηλιακού ιστού του περιτόναιου
D19.7;Μεσοθηλιακού ιστού άλλων εντοπίσεων
D19.9;Μεσοθηλιακού ιστού, μη καθορισμένο
D20;Καλόηθες νεόπλασμα των μαλακών ιστών του οπισθοπεριτόναιου και του περιτόναιου
D20.0;Οπισθοπεριτόναιου
D20.1;Περιτόναιου
D21;Άλλα καλοήθη νεοπλάσματα του συνδετικού και άλλων μαλακών ιστών
D21.0;Συνδετικού και άλλων μαλακών ιστών της κεφαλής, του προσώπου και του τραχήλου
D21.1;Συνδετικού και άλλων μαλακών ιστών του άνω άκρου, συμπεριλαμβανομένου του ώμου
D21.2;Συνδετικού και άλλων μαλακών ιστών του κάτω άκρου, συμπεριλαμβανομένου του ισχίου
D21.3;Συνδετικού και άλλων μαλακών ιστών του θώρακα 
D21.4;Συνδετικού και άλλων μαλακών ιστών της κοιλίας
D21.5;Συνδετικού και άλλων μαλακών ιστών της πυέλου
D21.6;Συνδετικού και άλλων μαλακών ιστών του κορμού, μη καθορισμένο 
D21.9;Συνδετικού και άλλων μαλακών ιστών, μη καθορισμένο
D22;Μελανοκυτταρικοί σπίλοι
D22.0;Μελανοκυτταρικοί σπίλοι του χείλους
D22.1;Μελανοκυτταρικοί σπίλοι του βλεφάρου, συμπεριλαμβανομένου του κανθού
D22.2;Μελανοκυτταρικοί σπίλοι του ωτός και του έξω ακουστικού πόρου
D22.3;Μελανοκυτταρικοί σπίλοι άλλων και μη καθορισμένων τμημάτων του προσώπου
D22.4;Μελανοκυτταρικοί σπίλοι του τριχωτού της κεφαλής και του τραχήλου
D22.5;Μελανοκυτταρικοί σπίλοι του κορμού
D22.6;Μελανοκυτταρικοί σπίλοι του άνω άκρου, συμπεριλαμβανομένου του ώμου
D22.7;Μελανοκυτταρικοί σπίλοι του κάτω άκρου, συμπεριλαμβανομένου του ισχίου
D22.9;Μελανοκυτταρικοί σπίλοι, μη καθορισμένοι
D23;Άλλα καλοήθη νεοπλάσματα του δέρματος
D23.0;Δέρματος του χείλους
D23.1;Δέρματος του βλεφάρου, συμπεριλαμβανομένου του κανθού
D23.2;Δέρματος του ωτός και του έξω ακουστικού πόρου
D23.3;Δέρματος άλλων και μη καθορισμένων τμημάτων του προσώπου
D23.4;Δέρματος του τριχωτού της κεφαλής και του τραχήλου 
D23.5;Δέρματος του κορμού
D23.6;Δέρματος του άνω άκρου, συμπεριλαμβανομένου του ώμου
D23.7;Δέρματος του κάτω άκρου, συμπεριλαμβανομένου του ισχίου
D23.9;Δέρματος, μη καθορισμένο
D24;Καλόηθες νεόπλασμα του μαστού
D25;Λειομύωμα της μήτρας
D25.0;Υποβλεννογόνιο λειομύωμα της μήτρας
D25.1;Ενδοτοιχωματικό λειομύωμα της μήτρας
D25.2;Υποορογόνιο λειομύωμα της μήτρας
D25.9;Λειομύωμα της μήτρας, μη καθορισμένο
D26;Άλλα καλοήθη νεοπλάσματα της μήτρας
D26.0;Τραχήλου της μήτρας
D26.1;Σώματος της μήτρας
D26.7;Άλλων τμήματα της μήτρας
D26.9;Μήτρας, μη καθορισμένο
D27;Καλόηθες νεόπλασμα της ωοθήκης
D28;Καλόηθες νεόπλασμα άλλων και μη καθορισμένων γυναικείων γεννητικών οργάνων
D28.0;Αιδοίου
D28.1;Κόλπου
D28.2;Σαλπίγγων και συνδέσμων της μήτρας
D28.7;Άλλων καθορισμένων γυναικείων γεννητικών οργάνων
D28.9;Γυναικείου γεννητικού οργάνου, μη καθορισμένου
D29;Καλόηθες νεόπλασμα των ανδρικών γεννητικών οργάνων
D29.0;Πέους
D29.1;Προστάτη
D29.2;Όρχεος
D29.3;Επιδιδυμίδας
D29.4;Οσχέου
D29.7;Άλλων ανδρικών γεννητικών οργάνων
D29.9;Ανδρικού γεννητικού οργάνου, μη καθορισμένο
D30;Καλόηθες νεόπλασμα των οργάνων του ουροποιητικού 
D30.0;Νεφρού
D30.1;Νεφρικής πυέλου
D30.2;Ουρητήρα
D30.3;Ουροδόχου κύστης
D30.4;Ουρήθρας
D30.7;Άλλων οργάνων του ουροποιητικού συστήματος
D30.9;Οργάνου του ουροποιητικού συστήματος, μη καθορισμένο 
D31;Καλόηθες νεόπλασμα του οφθαλμού και των εξαρτημάτων του
D31.0;Επιπεφυκότα
D31.1;Κερατοειδούς
D31.2;Αμφιβληστροειδούς 
D31.3;Χοριοειδούς 
D31.4;Ακτινωτού σώματος
D31.5;Δακρυϊκού αδένα και πόρου
D31.6;Οφθαλμικού κόγχου, μη καθορισμένο 
D31.9;Οφθαλμού, μη καθορισμένο 
D32;Καλόηθες νεόπλασμα των μηνίγγων
D32.0;Εγκεφαλικών μηνίγγων
D32.1;Νωτιαίων μηνίγγων
D32.9;Μηνίγγων,  μη καθορισμένο
D33;Καλόηθες νεόπλασμα του εγκεφάλου και άλλων τμημάτων του κεντρικού νευρικού συστήματος
D33.0;Υπερσκηνιδιακής μοίρας του εγκεφάλου
D33.1;Υποσκηνιδιακής μοίρας του εγκεφάλου
D33.2;Εγκεφάλου, μη καθορισμένο 
D33.3;Κρανιακών νεύρων
D33.4;Νωτιαίου μυελού
D33.7;Άλλων καθορισμένων τμημάτων του κεντρικού νευρικού συστήματος
D33.9;Κεντρικού νευρικού συστήματος, μη καθορισμένο 
D34;Καλόηθες νεόπλασμα του θυρεοειδούς αδένα
D35;Καλόηθες νεόπλασμα άλλων και μη καθορισμένων ενδοκρινών αδένων
D35.0;Επινεφριδίου
D35.1;Παραθυρεοειδούς αδένα
D35.2;Υπόφυσης
D35.3;Κρανιοφαρυγγικού πόρου 
D35.4;Επίφυσης [κωνάριου]
D35.5;Καρωτιδικού σωματίου
D35.6;Αορτικού σωματίου και άλλων παραγαγγλίων
D35.7;Άλλων καθορισμένων ενδοκρινών αδένων
D35.8;Πολυαδενική συμμετοχή
D35.9;Ενδοκρινούς αδένα, μη καθορισμένο 
D36;Καλόηθες νεόπλασμα άλλων και μη καθορισμένων εντοπίσεων
D36.0;Λεμφαδένων
D36.1;Περιφερικών νεύρων και αυτόνομου νευρικού συστήματος
D36.7;Άλλων καθορισμένων εντοπίσεων
D36.9;Καλόηθες νεόπλασμα μη καθορισμένης εντόπισης
D37;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς της στοματικής κοιλότητας και των οργάνων του πεπτικού
D37.0;Χείλους, στοματικής κοιλότητας και φάρυγγα
D37.1;Στομάχου
D37.2;Λεπτού εντέρου
D37.3;Σκωληκοειδούς απόφυσης
D37.4;Κόλου
D37.5;Ορθού
D37.6;Ήπατος, χοληδόχου κύστης και χοληφόρων πόρων
D37.7;Άλλων οργάνων του πεπτικού συστήματος
D37.9;Οργάνου του πεπτικού συστήματος, μη καθορισμένο 
D38;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς του μέσου ωτός και των οργάνων του αναπνευστικού συστήματος και των ενδοθωρακικών οργάνων 
D38.0;Λάρυγγα
D38.1;Τραχείας, βρόγχου και πνεύμονα
D38.2;Υπεζωκότα
D38.3;Μεσοθωρακίου
D38.4;Θύμου αδένα
D38.5;Άλλων οργάνων του αναπνευστικού
D38.6;Οργάνου του αναπνευστικού συστήματος, μη καθορισμένο 
D39;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς των γυναικείων γεννητικών οργάνων
D39.0;Μήτρας
D39.1;Ωοθήκης
D39.2;Πλακούντα
D39.7;Άλλων γυναικείων γεννητικών οργάνων 
D39.9;Γυναικείου γεννητικού οργάνου, μη καθορισμένο 
D40;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς των ανδρικών γεννητικών οργάνων 
D40.0;Προστάτη
D40.1;Όρχεος
D40.7;Άλλων ανδρικών γεννητικών οργάνων
D40.9;Ανδρικού γεννητικού οργάνου, μη καθορισμένο 
D41;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς των οργάνων του ουροποιητικού συστήματος 
D41.0;Νεφρού
D41.1;Νεφρικής πυέλου
D41.2;Ουρητήρα
D41.3;Ουρήθρας
D41.4;Ουροδόχου κύστης
D41.7;Άλλων οργάνων του ουροποιητικού συστήματος
D41.9;Οργάνου του ουροποιητικού συστήματος, μη καθορισμένο 
D42;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς των μηνίγγων 
D42.0;Εγκεφαλικών μηνίγγων 
D42.1;Νωτιαίων μηνίγγων
D42.9;Μηνίγγων, μη καθορισμένο
D43;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς του εγκεφάλου και του κεντρικού νευρικού συστήματος
D43.0;Υπερσκηνιδιακής μοίρας του εγκεφάλου
D43.1;Υποσκηνιδιακής μοίρας του εγκεφάλου
D43.2;Εγκεφάλου, μη καθορισμένο 
D43.3;Κρανιακών νεύρων
D43.4;Νωτιαίου μυελού
D43.7;Άλλων τμημάτων του κεντρικού νευρικού συστήματος
D43.9;Κεντρικού νευρικού συστήματος, μη καθορισμένο 
D44;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς των ενδοκρινών αδένων 
D44.0;Θυρεοειδούς αδένα
D44.1;Επινεφριδίων
D44.2;Παραθυρεοειδούς αδένα
D44.3;Υπόφυσης 
D44.4;Κρανιοφαρυγγικού πόρου
D44.5;Επίφυσης (κωνάριου)
D44.6;Καρωτιδικού σωματίου
D44.7;Αορτικού σωματίου και άλλων παραγαγγλίων
D44.8;Πολυαδενική συμμετοχή
D44.9;Ενδοκρινούς αδένα, μη καθορισμένο 
D45;Αληθής πολυκυτταραιμία
D46;Μυελοδυσπλαστικά σύνδρομα
D46.0;Ανθεκτική αναιμία χωρίς σιδηροβλάστες, ούτως αναφερόμενη
D46.1;Ανθεκτική αναιμία με σιδηροβλάστες
D46.2;Ανθεκτική αναιμία με περίσσεια βλαστών
D46.3;Ανθεκτική αναιμία με περίσσεια βλαστών σε μετατροπή [μεταμόρφωση] [μετάβαση] [εκτροπή]
D46.4;Ανθεκτική αναιμία, μη καθορισμένη
D46.7;Άλλα μυελοδυσπλαστικά σύνδρομα
D46.9;Μυελοδυσπλαστικά σύνδρομα, μη καθορισμένα 
D47;Άλλα νεοπλάσματα αβέβαιης ή άγνωστης συμπεριφοράς του λεμφικού, αιμοποιητικού και των σχετικών ιστών 
D47.0;Ιστιοκυταρικοί και μαστοκυτταρικοί όγκοι αβέβαιης και άγνωστης συμπεριφοράς
D47.1;Χρόνια μυελοϋπερπλαστική νόσος
D47.2;Μονοκλωνική γαμμασφαιρινοπάθεια
D47.3;Ιδιοπαθής (αιμορραγική) θρομβοκυτταραιμία
D47.7;Άλλα καθορισμένα νεοπλάσματα αβέβαιης ή άγνωστης συμπεριφοράς του λεμφικού, αιμοποιητικού και των σχετικών ιστών
D47.9;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς του λεμφικού, αιμοποιητικού και των σχετικών ιστών, μη καθορισμένο
D48;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς άλλων και μη καθορισμένων εντοπίσεων
D48.0;Οστών και αρθρικού χόνδρου
D48.1;Συνδετικού και άλλων μαλακών ιστών
D48.2;Περιφερικών νεύρων και αυτόνομου νευρικού συστήματος
D48.3;Οπισθοπεριτόναιου
D48.4;Περιτόναιου
D48.5;Δέρματος
D48.6;Μαστού
D48.7;Άλλων καθορισμένων εντοπίσεων
D48.9;Νεόπλασμα αβέβαιης ή άγνωστης συμπεριφοράς, μη καθορισμένο
D50;Αναιμία από ανεπάρκεια σιδήρου
D50.0;Σιδηροπενική αναιμία που οφείλεται σε απώλεια αίματος (χρόνια)
D50.1;Σιδηροπενική δυσφαγία
D50.8;Άλλες σιδηροπενικές αναιμίες 
D50.9;Σιδηροπενική αναιμία, μη καθορισμένη
D51;Αναιμία από ανεπάρκεια βιταμίνης Β12
D51.0;Αναιμία από ανεπάρκεια βιταμίνης Β12, λόγω έλλειψης του ενδογενούς παράγοντα
D51.1;Αναιμία από έλλειψη βιταμίνης Β12 λόγω εκλεκτικής δυσαπορρόφησης της βιταμίνης Β12 με πρωτεϊνουρία
D51.2;Aνεπάρκεια τρανσκοβαλαμίνης ΙΙ
D51.3;Άλλη αναιμία που οφείλεται σε διατροφική ανεπάρκεια της βιταμίνης Β12
D51.8;Άλλες αναιμίες από ανεπάρκεια βιταμίνης Β12
D51.9;Αναιμία από έλλειψη Β12, μη καθορισμένη
D52;Αναιμία από ανεπάρκεια φυλλικού οξέος
D52.0;Aναιμία από διαιτητική ανεπάρκεια φυλλικού οξέος
D52.1;Αναιμία από έλλειψη φυλλικού οξέος φαρμακευτικής αιτιολογίας 
D52.8;Άλλες αναιμίες από ανεπάρκεια φυλλικού οξέος
D52.9;Αναιμία από ανεπάρκεια φυλλικού οξέος, μη καθορισμένη
D53;Άλλες διατροφικές αναιμίες
D53.0;Αναιμία από ανεπάρκεια πρωτεϊνών
D53.1;Άλλες μεγαλοβλαστικές αναιμίες, που δεν ταξινομούνται αλλού
D53.2;Αναιμία από σκορβούτο
D53.8;Άλλες καθορισμένες διατροφικές αναιμίες
D53.9;Διατροφική αναιμία, μη καθορισμένη
D55;Αναιμία που οφείλεται σε ενζυμικές διαταραχές
D55.0;Αναιμία οφειλόμενη σε ανεπάρκεια γλυκοζο-6-φωσφορικής αφυδρογονάσης [G6PD]
D55.1;Αναιμία οφειλόμενη σε άλλες διαταραχές του μεταβολισμού της γλουταθειόνης
D55.2;Αναιμία οφειλόμενη σε διαταραχές των γλυκολυτικών ενζύμων
D55.3;Αναιμία  οφειλόμενη σε διαταραχές του μεταβολισμού των νουκλεοτιδίων
D55.8;Άλλες αναιμίες που οφείλονται σε ενζυμικές διαταραχές
D55.9;Αναιμία οφειλόμενη σε ενζυμική διαταραχή, μη καθορισμένη
D56;Θαλασσαιμία
D56.0;Άλφα θαλασσαιμία
D56.1;Βήτα θαλασσαιμία
D56.2;Δέλτα-βήτα θαλασσαιμία
D56.3;Στίγμα θαλασσαιμίας
D56.4;Κληρονομική παραμονή εμβρυϊκής αιμοσφαιρίνης [ΗΡFH]
D56.8;Άλλες θαλασσαιμίες
D56.9;Θαλασσαιμία, μη καθορισμένη
D57;Δρεπανοκυτταρικές διαταραχές
D57.0;Δρεπανοκυτταρική αναιμία με κρίση
D57.1;Δρεπανοκυτταρική αναιμία χωρίς κρίση
D57.2;Διπλές ετερόζυγες δρεπανοκυτταρικές διαταραχές 
D57.3;Στίγμα δρεπανοκυτταρικής αναιμίας
D57.8;Άλλες δρεπανοκυτταρικές διαταραχές
D58;Άλλες κληρονομικές αιμολυτικές αναιμίες
D58.0;Κληρονομική σφαιροκυττάρωση
D58.1;Κληρονομική ελλειπτοκυττάρωση
D58.2;Άλλες αιμοσφαιρινοπάθειες
D58.8;Άλλες καθορισμένες κληρονομικές αιμολυτικές αναιμίες 
