gr;"EDMA code";"GR code";Αγγλική Ονομασία;Συντομογραφία;Ελληνική Ονομασία;’λλη Ονομασία;Σχόλια;Ταυτίζεται με;Επείγουσα;Κατηγορία (1,2,3)
13;13.02.04.01;13.02.04.01.003;Platelet activation for the assessment of antiplatelet therapy (per drug);;ΕΛΕΓΧΟΣ ΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΑΙΜΟΠΕΤΑΛΙΩΝ ΓΙΑ ΤΗΝ ΕΚΤΙΜΙΣΗ ΤΗΣ ΑΝΤΙΑΙΜΟΠΕΤΑΛΙΑΚΗΣ ΘΕΡΑΠΕΙΑΣ (ΑΝΑ ΦΑΡΜΑΚΕΥΤΙΚΗ ΟΥΣΙΑ) ;;Ανταπόκριση στη θεραπεία με ασπιρίνη, κλοπιδογρέλη κ.λ.π.;;ΌΧΙ;2
13;13.02.04.02;13.02.04.02.001;Platelet Factor 4;PF4;ΑΙΜΟΠΕΤΑΛΙΑΚΟΣ ΠΑΡΑΓΟΝΤΑΣ 4;;;;ΝΑΙ;3
13;13.02.04.03;13.02.04.03.001;Prostacyclin;PG12;ΠΡΟΣΤΑΚΥΚΛΙΝΗ (ΠΡΟΣΤΑΓΛΑΝΔΙΝΗ 12);;;;ΌΧΙ;3
13;13.02.04.04;13.02.04.04.001;Thromboxane;TX;ΘΡΟΜΒΟΞΑΝΗ;;;;ΌΧΙ;3
13;13.02.04.05;13.02.04.05.001;b-Thromboglobulin;B-TG;Β-ΘΡΟΜΒΟΣΦΑΙΡΙΝΗ;;;;ΌΧΙ;3
13;13.02.04.90;13.02.04.90;Other Primary Hemostasis/Platelet Factors;;ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΡΧΙΚΩΝ ΣΤΑΔΙΩΝ ΑΙΜΟΣΤΑΣΗΣ / ΑΙΜΟΠΕΤΑΛΙΑΚΟΙ ΠΑΡΑΓΟΝΤΕΣ;;;;;s2
13;13.02.04.90;13.02.04.90.001;ADAMTS -13 activity;;ΔΡΑΣΤΙΚΟΤΗΤΑ ΤΗΣ ΜΕΤΑΛΛΟΠΡΩΤΕΑΣΗΣ ADAMTS-13;;;;ΌΧΙ;3
13;13.02.04.90;13.02.04.90.002;ADAMTS -13 antigen;;ΑΝΤΙΓΟΝΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΗΣ ΜΕΤΑΛΛΟΠΡΩΤΕΑΣΗΣ ADAMTS-13;;;;ΌΧΙ;3
13;13.02.04.90;13.02.04.90.003;ADAMTS-13 antibodies;;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙ-ADAMTS-13 ΑΝΤΙΣΩΜΑΤΩΝ;;;;ΌΧΙ;3
13;13.02.05;13.02.05;Fibrinolysis;;ΙΝΩΔΟΛΥΣΗ;;;;;s2
13;13.02.05.01;13.02.05.01.001;a2-Antiplasmin;;ΔΡΑΣΤΙΚΟΤΗΤΑ Α2 ΑΝΤΙΠΛΑΣΜΙΝΗΣ;;;;ΌΧΙ;3
13;13.02.05.02;13.02.05.02.001;Fibrinogen Degradation Products;FDP;ΠΡΟΪΟΝΤΑ ΑΠΟΔΟΜΗΣ ΙΝΩΔΟΥΣ- ΙΝΩΔΟΓΟΝΟΥ;;;;ΝΑΙ;1
13;13.02.05.03;13.02.05.03.001;D-Dimer (semi quantitative);;D-ΔΙΜΕΡΗ (ΗΜΙΠΟΣΟΤΙΚΟΣ ΕΛΕΓΧΟΣ);;;;ΝΑΙ;1
13;13.02.05.03;13.02.05.03.002;D-Dimer (quantitative);;D-ΔΙΜΕΡΗ (ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ);;;;ΝΑΙ;1
13;13.02.05.04;13.02.05.04.001;Plasmin;;ΠΛΑΣΜΙΝΗ;;;;ΌΧΙ;3
13;13.02.05.05;13.02.05.05.001;Plasminogen;;ΠΛΑΣΜΙΝΟΓΟΝΟ;;;;ΌΧΙ;3
13;13.02.05.06;13.02.05.06.001;Plasminogen Activator-Inhibitors;PAI;ΑΝΑΣΤΑΛΤΗΣ ΤΟΥ ΕΝΕΡΓΟΠΟΙΗΤΗ ΤΟΥ ΠΛΑΣΜΙΝΟΓΟΝΟΥ ;;;;ΌΧΙ;3
13;13.02.05.07;13.02.05.07.001;Tissue Plasminogen Activator antigen;tPA Ag;ΑΝΤΙΓΟΝΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΕΝΕΡΓΟΠΟΙΗΤΗΣ ΤΟΥ ΙΣΤΙΚΟΥ ΠΛΑΣΜΙΝΟΓΟΝΟΥ;;;;ΌΧΙ;3
13;13.02.05.07;13.02.05.07.002;Tissue Plasminogen Activator activity;tPA;ΔΡΑΣΤΙΚΟΤΗΤΑ ΕΝΕΡΓΟΠΟΙΗΤΗ ΤΟΥ ΙΣΤΙΚΟΥ ΠΛΑΣΜΙΝΟΓΟΝΟΥ ;;;;ΌΧΙ;3
13;13.02.05.08;13.02.05.08.001;Urokinase Plasminogen Activator;UPA;ΕΝΕΡΓΟΠΟΙΗΤΗΣ ΠΛΑΣΜΙΝΟΓΟΝΟΥ ΤΥΠΟΥ ΟΥΡΟΚΙΝΑΣΗΣ;;;;ΌΧΙ;3
13;13.02.05.09;13.02.05.09.001;Thrombin Activating Fibrinolysis Inhibitor;TAFI;ΑΝΑΣΤΑΛΤΗΣ ΤΗΣ ΙΝΩΔΟΛΥΣΗΣ ΕΝΕΡΓΟΠΟΙΟΥΜΕΝΟΣ ΑΠΟ ΘΡΟΜΒΙΝΗ (TAFI);;;;ΌΧΙ;3
13;13.02.06;13.02.06;Coagulation Inhibitors/Thrombophilia Markers;;ΑΝΑΣΤΑΛΤΕΣ ΠΗΞΗΣ/ ΔΕΙΚΤΕΣ ΘΡΟΜΒΟΦΙΛΙΑΣ;;;;;s2
13;13.02.06.02;13.02.06.02.001;Antithrombin ΙΙΙ activity;ATIII;ΔΡΑΣΤΙΚΟΤΗΤΑ ΑΝΤΙΘΡΟΜΒΙΝΗΣ ΙΙΙ;;;;ΌΧΙ;2
13;13.02.06.02;13.02.06.02.002;Antithrombin ΙΙΙ antigen;;ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΘΡΟΜΒΙΝΗΣ ΙΙΙ;;;;ΌΧΙ;3
13;13.02.06.04;13.02.06.04.001;Coagulation factor VIII Inhibitor;;ΑΝΑΣΤΑΛΤΗΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ VIII;;;;ΌΧΙ;3
13;13.02.06.05;13.02.06.05.001;Coagulation factor IX Inhibitor;;ΑΝΑΣΤΑΛΤΗΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ IX;;;;ΌΧΙ;3
13;13.02.06.06;13.02.06.06.001;Coagulation factor X Inhibitor;;ΑΝΑΣΤΑΛΤΗΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ X;;;;ΌΧΙ;3
13;13.02.06.07;13.02.06.07.001;Lupus Anticoagulant ( APTT screen);;ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (APTT SCREEN);;;;ΌΧΙ;2
13;13.02.06.07;13.02.06.07.002;Lupus Anticoagulant ( exagonal phase pospholipids confirm);;ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (ΕΠΙΒΕΒΑΙΩΤΙΚΗ ΜΕ ΕΞΑΓΩΝΙΚΑ ΦΩΣΦΟΛΙΠΙΔΙΑ);;;;ΌΧΙ;2
13;13.02.06.07;13.02.06.07.003;Lupus Anticoagulant ( DRVV screen);;ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (DRVV SCREEN);;;;ΌΧΙ;2
13;13.02.06.07;13.02.06.07.004;Lupus Anticoagulant (DRVV confirm);;ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (DRVV CONFIRM);;;;ΌΧΙ;2
13;13.02.06.07;13.02.06.07.005;Lupus Anticoagulant (DPT screen);;ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (DPT SCREEN);;;;ΌΧΙ;2
13;13.02.06.07;13.02.06.07.006;Lupus Anticoagulant (DPT confirm);;ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (DPT CONFIRM);;;;ΌΧΙ;2
13;13.02.06.07;13.02.06.07.007;Lupus Anticoagulant (KCT screen);;ΑΝΤΙΠΗΚΤΙΚΑ ΛΥΚΟΥ (KCT SCREEN);;;;ΌΧΙ;2
13;13.02.06.08;13.02.06.08.001;Protein C activity;PC;ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΡΩΤΕΙΝΗΣ C;;;;ΌΧΙ;2
13;13.02.06.10;13.02.06.10.001;Heparin Cofactor II - Tissue Factor Pathway Inhibitor;;ΔΡΑΣΤΙΚΟΤΗΤΑ ΣΥΜΠΑΡΑΓΟΝΤΑ ΙΙ ΤΗΣ ΗΠΑΡΙΝΗΣ ;;;;ΌΧΙ;3
13;13.02.06.11;13.02.06.11.001;APC Resistance;APC-R;ΑΝΤΙΣΤΑΣΗ ΣΤΗΝ ΕΝΕΡΓΟΠΟΙΗΜΕΝΗ ΠΡΩΤΕΙΝΗ C;;;;ΌΧΙ;2
13;13.02.06.12;13.02.06.12.001;Pro C ;;ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΡΩΤΕΙΝΗΣ C;;;;ΌΧΙ;3
13;13.02.06.13;13.02.06.13.001;Free Protein S Antigen;Free PS ;ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΜΟΣ ΕΛΕΥΘΕΡΗΣ ΠΡΩΤΕΙΝΗΣ S;;;;ΌΧΙ;2
13;13.02.06.14;13.02.06.14.001;Total Protein S Antigen;;ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΜΟΣ ΟΛΙΚΗΣ ΠΡΩΤΕΙΝΗΣ S;;;;ΌΧΙ;3
13;13.02.06.15;13.02.06.15.001;Protein S Activity;PS ;ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΡΩΤΕΙΝΗΣ S;;;;ΌΧΙ;2
13;13.02.06.90;13.02.06.90;Other Coagulation Inhibitors;;ΑΛΛΟΙ ΑΝΑΣΤΑΛΤΕΣ ΤΗΣ ΑΙΜΟΣΤΑΣΗΣ;;;;;s2
13;13.02.06.90;13.02.06.90.001;Plasma mixing test for coagulation factor  Inhibitors;;ΔΟΚΙΜΑΣΙΑ ΑΝΑΜΕΙΞΗΣ ΓΙΑ ΕΛΕΓΧΟ ΕΠΙΚΤΗΤΩΝ ΑΝΑΣΤΑΛΤΩΝ ΤΗΣ ΠΗΞΗΣ ;;;;ΌΧΙ;2
13;13.02.06.90;13.02.06.90.002;Plasma dilution test for coagulation factor  Inhibitors;;ΔΟΚΙΜΑΣΙΑ ΑΡΑΙΩΣΕΩΝ ΓΙΑ ΕΛΕΓΧΟ ΕΠΙΚΤΗΤΩΝ ΑΝΑΣΤΑΛΤΩΝ ΤΗΣ ΠΗΞΗΣ ;;;;ΌΧΙ;2
13;13.02.06.90;13.02.06.90.003;Thrombomodulin;;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΘΡΟΜΒΟΜΟΝΤΟΥΛΙΝΗΣ;;;;ΌΧΙ;3
13;13.02.70;13.02.70;Haemostasis Rapid Tests (Point-of-Care/Near Patient);;ΤΑΧΕΙΕΣ ΕΞΕΤΑΣΕΙΣ ΑΙΜΟΣΤΑΣΗΣ (ΔΙΠΛΑ ΣΤΟΝ ΑΣΘΕΝΗ);;;;;s2
13;13.02.70.03;13.02.70.03.001;D-Dimer - Rapid Test;;ΠΡΟΣΔΙΟΡΙΣΜΟΣ D-ΔΙΜΕΡΩΝ ΤΟΥ ΙΝΩΔΟΥΣ -ΤΑΧΕΙΑ ΜΕΘΟΔΟΣ;;;;ΝΑΙ;1
13;13.02.90;13.02.90;Other Haemostasis;;ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΙΜΟΣΤΑΣΗΣ;;;;;s2
13;13.02.90.90;13.02.90.90.001;Thromboelastography, global hemostasis test with and  without stimulation (per stimulator);;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΓΙΑ ΤΗΝ ΣΥΝΟΛΙΚΗ ΕΚΤΙΜΗΣΗ ΤΟΥ ΑΙΜΟΣΤΑΤΙΚΟΥ ΜΗΧΑΝΙΣΜΟΥ ΜΕ ΚΑΙ ΧΩΡΙΣ ΔΙΕΓΕΡΣΗ (ΑΝΑ ΔΙΕΓΕΡΤΗ) (ΕΚΤΙΜΗΣΗ ΑΙΜΟΣΤΑΤΙΚΟΥ)ΜΗΧΑΝΙΣΜΟΥ, ΕΚΤΙΜΗΣΗ ΕΝΔΟΓΕΝΟΥΣ ΟΔΟΥ, ΕΚΤΙΜΗΣΗ ΕΞΩΓΕΝΟΥΣ ΟΔΟΥ, ΕΚΤΙΜΗΣΗ ΙΝΩΔΟΛΥΣΗΣ);;Σε νοσοκομεία που έχουν ΜΕΘ και πραγματοποιούν μεγάλα χειρουργεία ;;ΝΑΙ;2
13;13.02.90.90;13.02.90.90.002;Thromboelastography (heparin therapy);;ΘΡΟΜΒΟΕΛΑΣΤΟΓΡΑΦΙΑ ΓΙΑ ΤΗΝ ΣΥΝΟΛΙΚΗ ΕΚΤΙΜΗΣΗ ΤΟΥ ΑΙΜΟΣΤΑΤΙΚΟΥ ΜΗΧΑΝΙΣΜΟΥ ΣΕ ΑΣΘΕΝΕΙΣ ΥΠΟ ΗΠΑΡΙΝΗ;;;;ΌΧΙ;2
13;13.02.90.90;13.02.90.90.003;Anti platelet factor 4/heparin antibodies (quantitative);Anti-PF4/H;ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΣΥΜΠΛΕΓΜΑΤΟΣ ΑΙΜΟΠΕΤΑΛΙΑΚΟΥ ΠΑΡΑΓΟΝΤΑ 4/ΗΠΑΡΙΝΗΣ (ΠΟΙΟΤΙΚΗ ΜΕΘΟΔΟΣ);;;;ΌΧΙ;2
13;13.02.90.90;13.02.90.90.004;Anti platelet factor 4/heparin antibodies (qualitative);Anti-PF4/H;ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΣΥΜΠΛΕΓΜΑΤΟΣ ΑΙΜΟΠΕΤΑΛΙΑΚΟΥ ΠΑΡΑΓΟΝΤΑ 4/ΗΠΑΡΙΝΗΣ (ΠΟΣΟΤΙΚΗ ΜΕΘΟΔΟΣ);;;;ΌΧΙ;3
13;13.02.90.90;13.02.90.90.005;Anti platelet factor 4/heparin antibodies (functional assay);Anti-PF4/H;ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΣΥΜΠΛΕΓΜΑΤΟΣ ΑΙΜΟΠΕΤΑΛΙΑΚΟΥ ΠΑΡΑΓΟΝΤΑ 4/ΗΠΑΡΙΝΗΣ (ΛΕΙΤΟΥΡΓΙΚΗ ΜΕΘΟΔΟΣ);;;;ΌΧΙ;3
13;13.03;13.03;Immunohaematology (Blood Grouping);;ΑΝΟΣΟΑΙΜΑΤΟΛΟΓΙΑ ΑΙΜΟΔΟΣΙΑΣ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΟΜΑΔΩΝ ΑΙΜΑΤΟΣ);;;;;s1
13;13.03.01;13.03.01;ABO Typing;;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΟΜΑΔΟΣ ΑΒΟ;;;;;s2
13;13.03.01.01;13.03.01.01.001;ABO grouping cells (forward);ΑΒΟ ;ΟΜΑΔΑ ΑΒΟ (ΕΥΘΕΙΑ);Ομάδα ΑΒΟ (ευθεία ομάδα);Απαιτούνται οι ειδικοί αντιοροί ΑΝΤΙ-Α, ΑΝΤΙ-Β και ΑΝΤΙ-ΑΒ;;ΝΑΙ;1
13;13.03.01.02;13.03.01.02.001;ABO sera (reverse);ΑΒΟ ;ΟΜΑΔΑ ΑΒΟ (ΑΝΑΣΤΡΟΦΗ);Ομάδα ΑΒΟ (ανάστροφη ομάδα);Απαιτούνται γνωστά ερυθρά Α, Β ΚΑΙ Ο (όχι απαραίτητα τα Ο)  ;;ΝΑΙ;1
13;13.03.01.90;13.03.01.90;Other ABO Typing Tests ;;ΑΛΛΟΙ ΠΡΟΣΔΙΟΡΙΣΜΟΙ ΟΜΑΔΟΣ ΑΒΟ;;;;;s2
13;13.03.01.90;13.03.01.90.001;Subgroup A1;Α1 ;ΠΡΟΣΔΙΟΡΙΣΜΟΣ Α1 ΥΠΟΟΜΑΔΑΣ;Κατηγοριοποίηση της ομάδας Α σε  Α1 ή Α2;Ο προσδιορισμός γίνεται με ΑΝΤΙ-Α1 λεκτίνη;;ΝΑΙ;1
13;13.03.01.90;13.03.01.90.002;Bombay blood group;ΒΟΜΒΑΥ ;ΟΜΑΔΑ ΒΟΜΒΑΗ Ή ΠΑΡΑΒΟΜΒΑΗ;;Ο προσδιορισμός γίνεται με ΑΝΤΙ-Η λεκτίνη ;;ΝΑΙ;1
13;13.03.01.90;13.03.01.90.003;ABO blood group(forward and reverse);ABO;ΟΜΑΔΑ ΑΒΟ (ΕΥΘΕΙΑ ΚΑΙ ΑΝΑΣΤΡΟΦΗ);;Είναι συνδυασμός των εξετάσεων 13.03.01.01.00 και 13.03.01.02.00, και αποτελεί τον ολοκληρωμένο προσδιορισμό της ΑΒΟ ομάδας;;ΝΑΙ;1
13;13.03.02;13.03.02;Rhesus Typing;;ΠΡΟΣΔΙΟΡΙΣΜΟΣ RHESUS ;;;;;s2
13;13.03.02.01;13.03.02.01.001;Rhesus D;RhD;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΟΥ RhD;;;;ΝΑΙ;1
13;13.03.02.02;13.03.02.02.001;Rhesus Phenotypes;C, c, E, e;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΓΟΝΩΝ Rh C, C, E, E (ΑΝΑ ΑΝΤΙΓΟΝΟ);Πλήρης φαινότυπος  Rhesus (Αντιγόνα C, c, E, e);;;ΝΑΙ;1
13;13.03.03;13.03.03;Combined ABO Typing + Rhesus Typing;;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΟΜΑΔΟΣ ΑΒΟ ΚΑΙ RHESUS ;;;;;s2
13;13.03.03.01;13.03.03.01.001;Combined ABO typing + Rhesus D;ABO-RhD;ΟΜΑΔΑ ABO-RhD;;Είναι συνδυασμός των εξετάσεων 13.03.01.90.11 και 13.03.02.01.00, και αποτελεί τον ολοκληρωμένο προσδιορισμό της ομάδας ΑΒΟ-RhD;;ΝΑΙ;1
13;13.03.03.02;13.03.03.02.001;Combined ABO typing + Rhesus Phenotypes;ABO-RhD-C-c-E-e;ΟΜΑΔΑ ABO-RhD ΚΑΙ ΠΛΗΡΗΣ ΦΑΙΝΟΤΥΠΟΣ RHESUS;;Ομοίως  συνδυασμός των εξετάσεων 13.03.01.90.11, 13.03.02.01.00, και 13.03.02.02.00;;ΝΑΙ;1
13;13.03.04;13.03.04;Antibody detection (Immunohaematology);;ΑΝΙΧΝΕΥΣΗ ΚΑΙ ΤΑΥΤΟΠΟΙΗΣΗ ΜΗ ΑΝΑΜΕΝΟΜΕΝΩΝ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ;;;;;s2
13;13.03.04.01;13.03.04.01.001;Antibody 2 cell screening;IAT;ΕΜΜΕΣΗ COOMBS ΜΕ 2 ΕΥΘΡΟΚΥΤΤΑΡΙΚΑ ΔΕΙΓΜΑΤΑ ;;Διενέργεια έμμεσης COOMBS με 2 ευθροκυτταρικά δείγματα ;;ΝΑΙ;1
13;13.03.04.02;13.03.04.02.001;Antibody 3 cell screening;IAT;ΕΜΜΕΣΗ COOMBS ΜΕ 3 ΕΥΘΡΟΚΥΤΤΑΡΙΚΑ ΔΕΙΓΜΑΤΑ ;;Διενέργεια έμμεσης COOMBS με 3 ευθροκυτταρικά δείγματα ;;ΝΑΙ;1
13;13.03.04.03;13.03.04.03.001;Antibody screening with enzymes treated red cells;IAT;ΕΜΜΕΣΗ COOMBS ΜΕ ΕΡΥΘΡΑ ΚΑΤΕΡΓΑΣΜΕΝΑ ΜΕ ΕΝΖΥΜΟ ;;Διενέργεια Έμμεση COOMBS με ερυθρά κατεργασμένα με ένζυμο (π.χ. βρωμελίνη, παπαϊνη, φισίνη);;;1
13;13.03.04.03;13.03.04.03.002;Antibody identification cell panels with polyspecific antiglobulin serum;PANEL ;PANEL ΓΙΑ ΤΑΥΤΟΠΟΙΗΣΗ ΜΗ ΑΝΑΜΕΝΟΜΕΝΩΝ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ΜΕ ΑΝΤΙΣΦΑΙΡΙΝΙΚΟ ΟΡΟ (ΕΜΜΕΣΗ COOMBS) ;;;;ΝΑΙ;1
13;13.03.04.03;13.03.04.03.003;Antibody identification cell panels with enzymes treated red cells;PANEL ;PANEL ΓΙΑ ΤΑΥΤΟΠΟΙΗΣΗ ΜΗ ΑΝΑΜΕΝΟΜΕΝΩΝ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ΜΕ ΕΝΖΥΜΟ (ΠΑΠΑΪΝΗ, ΦΙΣΙΝΗ, ΒΡΩΜΕΛΙΝΗ, ΚΑ);;;;ΝΑΙ;1
13;13.03.04.90;13.03.04.90;Other Antibody detection (Immunohaematology);;ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΝΙΧΝΕΥΣΗΣ ΚΑΙ ΤΑΥΤΟΠΟΙΗΣΗΣ ΜΗ ΑΝΑΜΕΝΟΜΕΝΩΝ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ;;;;;s2
13;13.03.04.90;13.03.04.90.001;Direct antiglobulin test or Direct COOMBS;;ΑΜΕΣΗ COOMBS;;;;ΝΑΙ;1
13;13.03.04.90;13.03.04.90.002;IgG subclasses;;TΑΥΤΟΠΟΙΗΣΗ ΥΠΟΤΑΞΕΩΝ IgG ΕΠΙ ΘΕΤΙΚΗΣ ΑΜΕΣΗΣ COOMBS;;;;ΌΧΙ;2
13;13.03.04.90;13.03.04.90.003;Direct antiglobulin test with monospecific antiglobulin reagent (IgG, IgM, IgA, C3d, etc);;ΤΑΥΤΟΠΟΙΗΣΗ ΑΜΕΣΗΣ COOMBS ΜΕ ΜΟΝΟΔΥΝΑΜΟΥΣ ΑΝΤΙΟΡΟΥΣ (IgG, IgM, IgA, C3D ΚΟΚ);;;;ΝΑΙ;2
13;13.03.04.90;13.03.04.90.004;Direct COOMBS titration;;ΤΙΤΛΟΠΟΙΗΣΗ ΑΜΕΣΗΣ COOMBS;;;;ΌΧΙ;2
13;13.03.04.90;13.03.04.90.005;Determination of cold-reactive autoagglutinins;;ΕΛΕΓΧΟΣ ΨΥΧΡΟΣΥΓΚΟΛΛΗΤΙΝΩΝ ;;;;ΌΧΙ;1
13;13.03.04.90;13.03.04.90.006;Idirect COOMBS titration;;ΤΙΤΛΟΠΟΙΗΣΗ ΕΜΜΕΣΗΣ COOMBS;;;;ΌΧΙ;2
13;13.03.04.90;13.03.04.90.007;Cold-reactive autoagglutinins titer;;ΤΙΤΛΟΠΟΙΗΣΗ ΨΥΧΡΟΣΥΓΚΟΛΛΗΤΙΝΩΝ ;;;;ΌΧΙ;2
13;13.03.04.90;13.03.04.90.008;Anti-A and Anti-B titration;;ΤΙΤΛΟΠΟΙΗΣΗ ΑΙΜΟΣΥΓΚΟΛΛΗΤΙΝΩΝ ΑΝΤΙ-Α ΚΑΙ ΑΝΤΙ-Β;;;;ΝΑΙ;1
13;13.03.04.90;13.03.04.90.009;Autologus adsorption;;ΑΥΤΟΛΟΓΗ ΠΡΟΣΡΟΦΗΣΗ ΓΙΑ ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ;;;;ΌΧΙ;3
13;13.03.04.90;13.03.04.90.010;Allogeneic  adsorption;;ΑΛΛΟΓΕΝΗΣ ΠΡΟΣΡΟΦΗΣΗ ΓΙΑ ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ;;;;ΌΧΙ;3
13;13.03.04.90;13.03.04.90.011;Compatibility testing or crossmatching;;ΔΟΚΙΜΑΣΙΑ ΣΥΜΒΑΤΟΤΗΤΑΣ (ΔΙΑΣΤΑΥΡΩΣΗ ΑΙΜΑΤΟΣ);;;;ΝΑΙ;1
13;13.03.04.90;13.03.04.90.012;Elution techniques;;ΕΚΛΟΥΣΗ ΑΝΤΙΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ (ΕΚΛΟΥΜΑ);;;;ΝΑΙ;2
13;13.03.04.90;13.03.04.90.013;Donath-Landsteiner test;;ΔΟΚΙΜΑΣΙΑ DONATH-LANDSTEINER (ΔΙΦΑΣΙΚΗ ΑΙΜΟΛΥΣΙΝΗ);;;;ΌΧΙ;
13;13.03.05;13.03.05.90;Other Antigen Typing;;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΛΛΩΝ ΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΓΟΝΩΝ;;;;;s2
13;13.03.05.90;13.03.05.90.001;Other Antigen typing reagents;;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΛΛΩΝ ΕΡΥΘΡΟΚΥΤΤΑΡΙΚΩΝ ΑΝΤΙΓΟΝΩΝ ΜΕΜΟΝΟΜΕΝΑ (KELL, CELLANO, JKA, JKB, LEA, LEB, FYA, FYB, M, N, S, S, P1, LUA, LUB, ΚΑΙ ΑΛΛΑ) (ΑΝΑ ΑΝΤΙΓΟΝΟ);;;;OXI;3
13;13.03.05.90;13.03.05.90.002;Molecural typing og blood group;;ΜΟΡΙΑΚΗ ΤΑΥΤΟΠΟΙΗΣΗ ΟΜΑΔΩΝ ΑΙΜΑΤΟΣ (ΑΝΑ ΑΝΤΙΓΟΝΟ);;;;ΌΧΙ;3
13;13.03.90;13.03.90;Other  Immunohaematology  Tests;;ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΙΜΟΔΟΣΙΑΣ;;;;;s2
13;13.03.90.90;13.03.90.90.001;Typing platelet-antibodies (platelet alloimmunization);;ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΑΙΜΟΠΕΤΑΛΙΑΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ ;;;;ΌΧΙ;3
13;13.03.90.90;13.03.90.90.002;Typing platelet-specific antigens;;ΤΥΠΟΠΟΙΗΣΗ ΑΝΤΙΓΟΝΩΝ ΑΙΜΟΠΕΤΑΛΙΩΝ (ΗΡΑ) (ΑΝΑ ΑΝΤΙΓΟΝΟ);;;;ΌΧΙ;3
13;13.03.90.90;13.03.90.90.003;Compatibility platelets testing ;;ΔΙΑΣΤΑΥΡΩΣΗ ΑΙΜΟΠΕΤΑΛΙΩΝ ;;;;ΌΧΙ;3
